mass u233f u233he u236f pu239h pu240f pu241f pu242f th232h np237f cf252s
80 0.211819l 0.337640l 0.186862n 0.157412l 0.071108m 0.064944l 0.055138m 0.691637j 0.111391k 0.004784n
81 0.369983i 0.541361m 0.269840n 0.272005l 0.117767m 0.092375k 0.091706m 1.055407j 0.235745j 0.008336l
82 0.592212j 0.837895m 0.384297n 0.349828l 0.173119m 0.142856j 0.125578n 1.371988j 0.357483k 0.015277l
83 0.992729d 1.305686i 0.564755m 0.473539k 0.225812f 0.203536e 0.178704f 1.730971h 0.482728f 0.041355i
84 1.646913d 2.055871i 1.041023m 0.797597l 0.387259f 0.356864e 0.344098f 2.405313h 0.764156f 0.065824l
85 2.120474d 2.128544j 1.404166h 0.965547h 0.433496g 0.446553f 0.323157f 4.504953h 0.943529f 0.109031i
86 2.791283d 2.682477l 1.769318m 1.135089k 0.626292f 0.599326e 0.541052f 5.387893j 1.312144g 0.127391l
87 3.839970d 3.384983i 2.300375h 1.311613h 0.855547g 0.801993f 0.633340h 4.972307g 1.748054g 0.214949l
88 5.074510d 3.972427j 2.903340h 1.905361j 0.974526h 0.988938e 0.834913f 5.344973h 2.160309g 0.316107j
89 5.752346g 4.624521i 3.866771i 2.068536h 1.409931i 1.282172i 1.098864j 5.935102g 2.540089h 0.363233g
90 6.386977d 4.758131j 4.726828l 2.102754k 1.798823f 1.550924f 1.360012f 6.084759g 3.341144f 0.522465l
91 6.449272d 5.178402i 5.500850g 2.237309j 2.190363f 1.928825f 1.801399g 5.991665g 3.926816f 0.597083g
92 6.541788d 5.475885i 5.611012h 2.914485k 2.680322f 2.394422f 2.151179g 5.515768g 4.385161f 0.683939g
93 6.938879d 5.377588i 5.530128h 3.228897k 3.510794f 2.980999f 2.805855g 5.583862g 5.116882f 0.922775h
94 6.754053d 5.028212l 5.022972i 3.488761k 3.931243f 3.305810f 3.126856g 5.355038j 5.135931f 1.082168i
95 6.282346d 5.053958h 6.357054i 3.928726i 4.438210f 3.791982f 3.624745f 4.938007i 5.669297e 1.242835f
96 5.724824d 4.815132l 6.048170l 4.374147k 4.733370f 4.293444f 4.281194g 3.774838j 5.488387f 1.595509k
97 5.428447d 4.833920h 5.450093g 4.564323h 5.165564f 4.458663f 4.455980f 3.359161h 6.137973e 1.667163f
98 5.138015d 3.947898l 6.034184k 4.864154k 5.501400f 4.799103f 4.833419f 2.709561j 6.106580f 2.297083k
99 4.698149g 3.781740h 5.815444g 4.749738h 5.930922g 5.528992h 5.437807i 2.048452f 6.118047g 2.632067f
100 4.357599d 3.086651l 5.776085k 5.121307k 6.811451f 5.960374f 6.084161f 1.638174i 6.436427g 3.448161j
101 3.893542f 2.743740l 5.229041i 4.997584k 6.479862h 6.490907e 5.990136i 1.357787i 6.124369f 3.933948g
102 2.935481f 2.507262l 5.196586l 5.476686k 6.667164h 6.865604e 6.420304i 1.023859i 5.769296g 4.038054h
103 1.664343i 2.532174i 4.156286i 5.207893h 6.613308i 6.508026h 6.544403j 0.886648h 5.558304f 5.447208f
104 1.279155e 1.978568l 3.540101l 5.443429k 6.839620h 7.306442e 6.485519i 0.962435i 4.131492h 5.656980h
105 0.855466i 1.804765i 2.465547h 4.274868h 5.584536i 6.583418i 6.966055h 1.081533h 3.103525g 6.211626f
106 0.325219h 1.387055k 1.012315j 3.577379j 5.093262h 6.244297e 5.758838i 1.194485h 2.334109i 6.311680f
107 0.145756j 1.422649m 0.616013m 2.862284k 3.927550k 4.906669k 5.027247l 1.177844i 1.712617j 6.618205g
108 0.097559n 1.431957m 0.384001n 2.398210k 2.795166k 3.541954k 4.397309l 1.279823i 1.296866l 6.109400g
109 0.085292m 1.503545k 0.154096m 2.476479i 1.746191i 2.352977k 3.194055k 1.413551h 0.637752j 5.940418g
110 0.079815n 1.321089m 0.114152n 1.744318k 0.941013l 1.399562j 2.077608l 1.382254i 0.300653k 5.903153k
111 0.073687j 1.412376i 0.067305j 1.547298i 0.487211i 0.644584l 1.222247l 1.303290g 0.095279h 5.187627f
112 0.064857l 1.690540i 0.052925n 1.392305i 0.227972i 0.317786l 0.653576m 1.471980h 0.073460j 4.135488g
113 0.062631l 1.702444i 0.041067m 1.295266k 0.149580k 0.213241l 0.318057m 1.418936h 0.051558j 4.782829h
114 0.055870n 1.228653m 0.036321n 1.256600k 0.091121m 0.117393k 0.133050m 1.331016i 0.052834l 3.328425k
115 0.054779k 1.447280j 0.038445m 1.271726i 0.061250i 0.109020k 0.109153l 1.312195g 0.048947i 2.897211f
116 0.065484m 1.381761l 0.037359n 1.157196k 0.064827m 0.096928l 0.097549m 1.272370i 0.047787k 2.127287k
117 0.065723j 1.320991l 0.037698l 1.151458k 0.063752l 0.088045k 0.098267l 1.429681h 0.043023k 1.500654i
118 0.070680j 1.285070m 0.036295m 1.265306j 0.058995m 0.083358l 0.087794m 1.113324i 0.052941k 0.993867k
119 0.074920j 1.220152l 0.035340m 1.251859k 0.058555m 0.082389l 0.087794m 1.060308i 0.053266k 0.384147k
120 0.070917j 1.159649l 0.038205m 1.248022k 0.067071m 0.086505l 0.082916m 0.975484i 0.053022k 0.238962k
121 0.080336l 1.710001j 0.037463n 1.444680j 0.068034m 0.091594l 0.082044n 0.949023i 0.052609i 0.117532f
122 0.072647j 1.235136m 0.050575n 1.460716k 0.075996m 0.094651l 0.083866n 0.848247i 0.060728k 0.088464l
123 0.075808n 1.351245l 0.071178n 1.729587k 0.086940m 0.101771l 0.088422n 0.805834i 0.075697k 0.040869j
124 0.103384k 1.514461m 0.094016n 1.882184k 0.109879m 0.113101l 0.100519n 0.796609j 0.072747k 0.025432l
125 0.146139g 1.516257i 0.164285m 1.954902j 0.089289i 0.151116k 0.128898k 0.720982i 0.131045h 0.017685j
126 0.284589i 2.312017l 0.243428m 2.547933l 0.271673k 0.223951k 0.168351l 0.878031i 0.165173k 0.027712k
127 0.739534k 2.226838h 0.353390m 2.204234i 0.417491i 0.332128l 0.277268l 1.078026h 0.355856j 0.105591i
128 1.183967i 2.542472l 0.544425m 2.719282k 0.693441k 0.658785k 0.517936l 1.166342i 1.499571j 0.193489k
129 1.737216i 2.833625l 0.930972j 3.387362k 1.149483l 1.167150j 1.230159j 1.252821h 1.759487i 0.588805h
130 2.792976l 3.200091l 1.742986l 4.472198k 2.031069k 1.863027j 2.005994k 2.445798j 2.726681j 0.847124l
131 3.742352d 4.066951h 2.949756f 4.365749g 3.520040g 3.362428f 3.106466f 2.815254h 3.600055d 1.599812h
132 5.037372e 3.983494h 4.376397f 5.231195g 5.041959j 4.709868f 4.483763e 3.428572g 4.853792d 2.152595g
133 6.038073d 4.560393i 6.893372h 4.865743j 6.919886e 6.459724e 6.649572d 4.663337i 6.468864f 3.152104g
134 6.314475d 4.985265i 7.740875f 6.009275h 7.486179g 7.544606e 7.430162d 6.642892h 7.072826e 3.899700h
135 6.423164d 5.133530i 6.079545f 6.376440k 7.442543e 7.069647e 6.997196f 5.246944g 7.259395f 4.190145g
136 7.039554e 5.708629l 6.592126g 6.243613g 6.681315f 6.687501f 6.877002f 6.579760k 6.712400e 4.191617j
137 6.749106d 5.076073h 6.004417h 4.545788i 6.559005g 6.386823f 6.315746f 5.598808g 6.252811e 5.022656g
138 6.575755e 6.396232k 6.638414k 4.131454k 6.449165f 6.147261i 6.195603f 5.760764g 6.135233f 5.561545g
139 5.887556f 5.866070h 6.062405i 4.128723j 5.982345i 6.307392g 6.015723f 5.796842g 5.634704f 5.853515f
140 6.005914e 5.030049j 5.635502f 3.843636i 5.505426f 5.306048f 5.449694g 5.989903g 5.493600e 5.959867e
141 6.247733g 4.464269h 5.379958h 3.560214i 5.015438h 5.075319h 5.016567i 6.114955g 5.341258g 5.966351f
142 6.122289e 4.397528l 5.423144h 3.108543j 4.889920f 4.634242f 4.600878f 5.408502i 4.795652f 6.025751g
143 5.524121d 3.218155h 5.762824h 2.807836i 4.436753f 4.671235d 4.545299e 5.119583g 4.649954f 6.253822f
144 4.379333d 2.478323i 5.111680h 2.704471h 3.962051g 4.171096f 4.262299f 4.217892i 4.139619f 5.899073f
145 3.199751d 2.025202j 4.152905i 2.158065j 3.075099f 3.326693d 3.369644e 2.630949h 3.450362f 5.051517h
146 2.381593d 1.629104m 3.462719j 1.743971k 2.553082e 2.805788d 2.908089e 2.453127j 2.799534f 4.433891h
147 1.685954d 1.241185i 2.295173f 1.709635i 2.202893f 2.224196f 2.370548f 1.864808h 2.227831f 4.280649f
148 1.197536d 0.884282m 1.729152m 1.295678k 1.774039f 1.956179d 2.001289e 1.068817j 1.719460f 3.945769j
149 0.710615d 0.616857k 1.338310j 1.055207k 1.335202e 1.458571e 1.573372e 0.813042i 1.302589f 2.719409g
150 0.469859e 0.446070m 0.739914n 0.993759l 1.085382f 1.230379d 1.319905e 0.410517j 0.993970f 2.444907k
151 0.308286d 0.342014j 0.414867k 0.737611k 0.850480e 0.911266f 0.987960f 0.232520h 0.727214f 1.948906g
152 0.192187e 0.216819l 0.315192m 0.539999l 0.651102f 0.731908e 0.790400f 0.129381j 0.459940f 1.721700k
153 0.103453i 0.142869j 0.252867n 0.457717k 0.514598i 0.550597h 0.623322g 0.089584i 0.365157h 1.292928g
154 0.043626g 0.097651l 0.131116n 0.326903l 0.309577h 0.381333f 0.435689f 0.055172j 0.187242f 1.067268k
155 0.022742o 0.065374l 0.093655n 0.233150k 0.235513i 0.335845l 0.328165n 0.031656j 0.141933k 0.792890h
156 0.017567k 0.043623i 0.033729i 0.213972i 0.173939i 0.244251l 0.237008n 0.018313j 0.100496i 0.676700g
157 0.010122l 0.027761k 0.023414n 0.113299k 0.130276j 0.162834l 0.164082n 0.010612j 0.032215l 0.537819h
158 0.003317n 0.017080l 0.011239n 0.073087l 0.077783m 0.111948l 0.109388n 0.006249j 0.012772l 0.469618k
159 0.001734l 0.010649k 0.004402n 0.052510k 0.035905i 0.065134l 0.065633n 0.004550j 0.006491l 0.340237i
160 0.000419n 0.007162l 0.001967n 0.035386l 0.019401n 0.039692l 0.041021n 0.001724j 0.002508l 0.285805k
161 9.48e-05n 0.004672i 0.000493i 0.018506i 0.011869j 0.023407l 0.023701n 0.001058i 0.000779l 0.193696h
162 2.27e-05n 0.002749n 0.000206n 0.009047l 0.006864m 0.011788m 0.012762n 0.000510j 0.000303l 0.119572l
163 1.04e-05n 0.001706n 0.000112n 0.003195l 0.002167m 0.005228m 0.005469n 0.000255j 0.000130l 0.075839l
164 3.51e-06n 0.001047n 4.50e-05n 0.001841l 0.001164n 0.003313n 0.001367n 0.000132j 5.62e-05l 0.047208l
165 1.16e-06m 0.000626n 1.72e-05m 0.000737l 0.000570m 0.001538m 0.000937m 7.28e-05j 1.92e-05k 0.028645l
166 6.73e-07n 0.000264k 1.03e-05n 0.000505l 0.000303n 0.000621n 0.000456n 2.97e-05i 1.12e-05l 0.018396k
167 9.38e-08n 0.000218n 4.87e-06n 0.000274l 0.000182n 0.000311n 0.000182n 1.59e-05j 1.55e-06l 0.009568l
168 2.46e-08n 0.000133n 1.22e-06n 0.000138l 9.10e-05n 0.000124n 7.29e-05n 8.01e-06j 3.98e-07l 0.005251l
169 8.24e-09n 8.29e-05k 3.00e-07n 6.42e-05l 9.27e-05l 5.90e-05n 4.38e-05n 3.88e-06j 1.30e-07l 0.001669m
170 2.46e-09n 4.37e-05n 9.08e-08n 4.80e-05l 2.02e-05n 1.66e-05n 2.10e-05n 1.74e-06j 4.08e-07l 0.001398o
171 7.58e-10n 2.37e-05n 3.00e-08n 3.67e-05l 1.11e-05n 5.80e-06n 1.19e-05n 8.19e-07j 1.21e-07l 0.000708o
172 2.84e-10n 2.28e-05m 8.05e-09n 1.84e-05l 6.06e-06n 1.66e-06n 6.38e-06n 3.81e-07j 4.68e-07l 0.000346o
