mass th227t th229t pa231f am241t am241h a242mt cm245t cf249t cf251t es254t
83 5.653256l 5.199428g 2.301276j 0.177265j 0.464420m 0.247989j 0.190982k 0.129884i 0.021947m 0.000872l
84 6.149415l 9.351723f 4.230482j 0.277786j 0.593532m 0.390846j 0.269753m 0.189642l 0.028484n 0.001726n
85 6.722658k 9.209156f 4.484248i 0.318023j 0.782329m 0.450324k 0.294181i 0.250688l 0.042969m 0.003352m
86 7.084953k 8.306021f 5.149603l 0.443596l 0.948662m 0.571047m 0.474388n 0.336594l 0.056565n 0.007124n
87 7.038131l 7.237108g 5.963832l 0.697907m 1.076704i 0.674619n 0.508205j 0.422156l 0.075285n 0.014230n
88 7.083168l 8.189612g 6.633533l 0.768877l 1.214488k 0.920838m 0.614886i 0.521144l 0.104051n 0.028593n
89 7.588615h 9.054496f 6.985217i 0.988304i 1.537910m 1.192149j 0.857202i 0.455434i 0.151198n 0.051894k
90 7.682956i 8.373094h 6.849946l 1.366567j 1.741136m 1.379422j 1.080187k 0.588868i 0.296187m 0.113012n
91 6.167085k 6.593329f 6.448984j 1.847946h 2.044897h 1.749651k 0.880204h 0.828127g 0.519946i 0.275741j
92 4.740288l 5.965047g 6.773657l 2.010441h 2.217020j 2.101637i 1.290145j 0.891135h 0.581024n 0.357619n
93 4.373777l 4.844053g 6.715180l 2.687143i 2.424342l 2.579150j 1.816635i 1.078319h 0.701689k 0.470869m
94 3.664474l 4.111336j 6.359588l 3.192690l 2.598156i 2.721451m 1.639377i 1.197019h 0.749811n 0.565227n
95 3.382430j 2.675366f 6.356235i 3.977545g 3.124817i 3.294279j 2.351206h 1.506069f 0.978960j 0.708960j
96 2.613811m 1.380278j 4.966944l 4.260961l 3.284327l 3.624064l 2.824579l 1.680999i 1.432866m 0.751744n
97 2.382440l 0.731037g 4.353357h 5.267398g 3.545127j 4.280808j 2.896429h 2.085608f 1.649746i 0.975554j
98 1.366808l 0.271352j 3.178944l 5.875970l 3.939538l 4.611194l 3.679975l 2.318423i 2.203117m 1.343856m
99 1.432854j 0.152071h 2.534050h 6.624390g 4.336901i 5.349424i 4.169585f 2.800711g 3.288263h 2.297705i
100 0.936641m 0.036026l 1.978594m 6.254700k 4.566865l 5.479308l 4.938151l 3.236425i 3.386625l 2.423282l
101 0.749312m 0.013081l 1.384969m 5.998302l 4.783424l 5.870560l 5.761641j 3.686038i 3.870362l 2.487148m
102 0.581725m 0.006552l 0.643032m 6.177847l 4.891798l 6.653634l 5.956845k 4.214248i 4.257632l 2.714242l
103 0.570188l 0.005997j 0.370689i 6.229465h 5.040525i 7.072962j 6.328250h 4.927273f 4.354513l 3.128265j
104 0.314197n 0.010114l 0.197173n 6.219106l 4.727494i 6.951483l 6.754414j 5.092728h 4.553161l 3.398538l
105 0.276770k 0.008090h 0.146306k 6.644416g 4.729528i 6.953949j 6.402817g 5.434584f 4.843500i 4.248856i
106 0.173128m 0.012004j 0.103468k 5.958447l 4.123556i 6.164088l 5.742900i 5.618008g 4.934712l 4.023853j
107 0.094091n 0.010813l 0.095527n 5.270934l 3.784033i 5.381347l 5.579344j 5.698314i 5.224989l 3.877234l
108 0.053909n 0.011742l 0.078791n 4.254739l 3.513967l 4.109745l 5.743715l 5.725655i 5.322621l 3.684061l
109 0.033753m 0.012898k 0.079651j 2.494585i 3.222369i 3.749192j 4.658722j 5.579277h 5.225069i 3.721595j
110 0.035284n 0.016895k 0.068937n 1.492485m 2.876922l 2.423846m 4.723505l 5.414621i 5.225127l 3.877295l
111 0.040989l 0.021650i 0.095282j 0.951136h 2.332104i 1.534712j 4.010336i 5.500346h 5.017987h 4.192541h
112 0.028713l 0.020836i 0.058512j 0.559857i 2.423159i 0.642989j 3.006297k 4.925475h 5.334010i 4.342348j
113 0.036696l 0.017003j 0.080964j 0.196580k 2.467821i 0.251871m 2.039334k 4.165386i 4.456789j 3.890811j
114 0.030304n 0.021486l 0.061059n 0.148919n 1.838109m 0.105254n 1.093787m 3.624160i 4.508978l 4.943476l
115 0.030215m 0.019833i 0.083305j 0.051124h 1.720210i 0.073742j 0.559542h 2.986375g 4.559190g 5.572666h
116 0.032324n 0.019618l 0.064668m 0.039796m 1.544809m 0.038780m 0.216646m 2.199953i 3.627723m 5.480334k
117 0.038272m 0.022747i 0.065692m 0.031885l 1.496050l 0.029353l 0.143133l 1.830886j 2.902772l 5.087148k
118 0.047476n 0.016930i 0.066719m 0.036024l 1.447021m 0.027146m 0.084595m 1.021380i 1.908332m 4.458818l
119 0.063451m 0.015712k 0.068772m 0.027857m 1.447021m 0.023268m 0.052614m 0.609513i 1.240416m 3.913191k
120 0.083840n 0.014678l 0.072878m 0.025867m 1.540443m 0.023268m 0.037139m 0.385308l 0.763333m 3.392579l
121 0.113596m 0.013309k 0.079029k 0.026180n 1.601252m 0.019529j 0.031133k 0.206423i 0.497224i 2.695797i
122 0.109142n 0.013673k 0.087210n 0.029351n 1.788519m 0.032850n 0.053311n 0.180266l 0.280555n 2.295830m
123 0.221216n 0.012893l 0.098553n 0.039794n 1.905286m 0.043771n 0.063304m 0.168209i 0.196388n 1.938617l
124 0.313720n 0.011105l 0.116361n 0.050377n 2.296014m 0.054787n 0.071014n 0.137428l 0.187420n 1.339261m
125 0.500067k 0.005644m 0.145755m 0.081637m 2.352158l 0.103657l 0.093503k 0.207119k 0.380967k 0.903326k
126 0.569149l 0.019045j 0.193271l 0.170100l 3.578009k 0.169126l 0.161991l 0.446129l 0.506719m 0.845123l
127 0.673108l 0.038914k 0.291509m 0.585649h 2.321208i 0.266662m 0.486344j 0.588926j 0.608631j 0.944831j
128 0.926608m 0.051942m 0.529081n 0.930118m 2.908697l 0.413702l 0.651684i 0.783704i 0.709418m 1.286096l
129 1.428327k 0.118843i 1.034453h 1.361734h 3.604077l 1.471999m 1.270584j 1.630072j 0.929550i 1.960259j
130 1.864049m 0.417244k 2.084777m 2.233984m 4.595209l 2.004841m 1.850324j 1.974170i 1.216432m 2.461702m
131 2.626336l 0.604336g 2.667257i 3.563315f 4.472304i 3.483687h 2.915607g 3.168128g 1.841308i 3.794180i
132 3.388646i 1.204007f 3.584308i 4.775108f 3.772098k 4.813691h 4.184611f 4.159552h 3.217466j 4.798906j
133 4.839077k 2.966538f 5.092815i 5.507630e 4.630996h 5.982260i 5.467867g 5.249503g 3.911973j 5.058292k
134 5.729390l 5.968143f 6.375640k 7.239502g 5.281205k 7.003336i 7.100712h 5.390574g 4.854212l 5.354648l
135 6.776684l 5.806931f 6.672920i 7.012588g 4.741971j 6.654152k 6.800380g 5.420276h 4.432428j 5.476295j
136 7.666171l 5.974547f 7.476111l 7.930157g 6.216885l 6.553652k 5.041344j 5.662877k 5.665815l 5.135196l
137 6.966919k 7.169380g 7.018564i 6.415981h 4.390373i 6.137532j 6.219815i 5.700280h 5.707720l 4.699539l
138 7.248573l 7.888810g 7.452637l 6.934448i 4.404919l 5.975975l 6.173800h 5.399914h 5.777183l 4.474047l
139 7.548144l 8.487908g 7.345277l 6.668077g 4.079915i 5.766955j 5.843295i 6.109041g 5.655673l 4.157150l
140 7.749613k 7.940885f 6.715763h 5.936439g 3.532391j 5.409275j 5.516822f 5.324028f 4.509273h 3.995753h
141 7.640609j 7.461594f 6.838927i 4.791970g 3.243333i 5.244436j 5.159751h 5.431640h 4.918617j 4.583781i
142 7.448923l 7.300350g 6.208105l 4.720582k 3.038531i 4.490711j 4.731230h 4.393599g 5.464604l 4.592552l
143 6.989135j 8.307434g 5.325788h 3.671068g 2.704216i 4.637793j 4.417257g 4.704304g 5.080525i 4.827392i
144 5.966224j 9.758022h 4.694476i 3.488406h 2.525339i 4.425765j 4.298894j 4.317734h 5.050883l 3.889585j
145 3.105632l 5.016667j 3.208685j 3.313133i 2.249859m 3.350866l 3.036074j 3.537418k 4.947034l 3.561060l
146 1.037369m 3.379384h 2.607171m 2.645464m 2.026899m 2.879976m 2.754335j 3.351229h 4.239998l 3.264100l
147 0.183393m 2.114336h 2.027286h 2.032382h 1.815791i 2.466797j 2.438092h 2.856442h 3.513508k 2.967364l
148 0.031314n 1.021486h 1.560233m 1.829189m 1.590821m 2.133477m 2.316050l 2.255527l 3.345269m 2.659000m
149 0.010101n 0.588230h 0.921756i 1.432518i 1.305875i 1.719593j 1.950343j 2.053920h 3.020187k 2.264642m
150 0.002021n 0.178456i 0.550639n 1.148799m 1.235721m 1.602343m 1.818158m 1.755003l 2.424743l 1.979998l
151 0.000505n 0.037998k 0.316407n 0.839475j 0.897233i 1.218078j 1.142816h 1.604719h 2.019051l 1.700240k
152 0.000202n 0.009755l 0.179470n 0.722576n 0.815177n 1.023991m 1.222758m 1.255875l 1.520199m 1.624615m
153 0.000101n 0.002058l 0.076967j 0.602388i 0.671613i 0.829094j 1.295211m 1.210257g 1.216134m 1.591976l
154 4.04e-05n 0.000483l 0.041501n 0.377025n 0.530077n 0.547193n 0.892515m 0.892833l 0.912163m 1.280085m
155 1.01e-05n 9.84e-05l 0.020748n 0.307721k 0.341757i 0.361109n 0.696315n 0.616094i 0.713341n 0.984615m
156 5.05e-06n 2.60e-05l 0.010374n 0.191143i 0.273777i 0.327549j 0.432886k 0.676861h 0.566411k 0.796263l
157 1.52e-06n 7.16e-06l 0.005187n 0.164262j 0.179285j 0.155052k 0.447993n 0.421298i 0.407619n 0.754309k
158 5.76e-07n 1.79e-06l 0.003216n 0.085871n 0.153996n 0.087542n 0.328393n 0.381032l 0.305713n 0.684770n
159 2.02e-07n 5.28e-07l 0.001556n 0.073005j 0.133100i 0.054713n 0.229064n 0.364075i 0.203810n 0.489121n
160 1.01e-08n 1.34e-07l 0.000737n 0.034595n 0.087645n 0.038331n 0.179528n 0.232957l 0.152907n 0.391501n
161 6.06e-09n 3.58e-08l 0.000373n 0.022102j 0.060727i 0.020150k 0.119600n 0.193116j 0.101904n 0.293473n
162 3.03e-09n 8.86e-09l 0.000197n 0.010472n 0.034647n 0.013131n 0.079666n 0.110678n 0.081523n 0.195649n
163 1.01e-09n 2.68e-09l 0.000104n 0.002827n 0.024462n 0.006566n 0.054732n 0.066861n 0.061142n 0.097824n
164 6.06e-10n 8.95e-10l 4.15e-05n 0.000325n 0.017450n 0.002189n 0.024934n 0.043472n 0.040762n 0.047934n
165 3.02e-10m 2.68e-10l 2.05e-05m 0.000100m 0.010190n 0.001067m 0.010904m 0.028031m 0.030403m 0.019692m
166 1.01e-10n 7.16e-11l 9.34e-06n 6.81e-05n 0.007133n 0.000547n 0.004460n 0.016692n 0.020381n 0.008804n
167 6.06e-11n 1.79e-11l 3.63e-06n 3.04e-05n 0.004076n 0.000219n 0.002230n 0.007394n 0.015285n 0.003913n
168 3.03e-11n 6.27e-12l 1.56e-06n 1.36e-05n 0.002956n 0.000109n 0.001318n 0.004182n 0.010190n 0.001956n
169 1.01e-11n 1.79e-12l 6.22e-07n 5.86e-06n 0.001936n 8.75e-05n 0.000598n 0.001687n 0.008152n 0.000978n
170 6.06e-12n 1.61e-12l 3.11e-07n 1.68e-06n 0.001165n 4.38e-05n 0.000294n 0.000863n 0.006115n 0.000489n
171 3.02e-12l 1.34e-12l 1.56e-07n 3.25e-07n 0.000774n 2.19e-05n 0.000172n 0.000481n 0.004076n 0.000196n
172 1.11e-12l 1.16e-12l 1.04e-07n 1.05e-07n 0.000510n 1.09e-05n 8.01e-05n 0.000363n 0.003057n 9.78e-05n
