mass cm243t cm246s cm243f cm244f cm246f cm248f pu242h np237t pu240t pu242t
114 0.177819n 1.242047n 0.350010n 0.540259n 1.002390m 1.687618m 1.425522m 0.034154n 0.099860n 0.149219n
115 0.162740m 0.813718m 0.210004m 0.340115m 0.651098l 1.094334l 1.237393k 0.016257k 0.069931m 0.119558m
116 0.069466n 0.070974n 0.130004n 0.210071m 0.400956m 0.734610m 0.916407m 0.019658m 0.049930n 0.079705m
117 0.045783m 0.025342m 0.088002m 0.140048m 0.250423l 0.457631l 0.810312l 0.017782l 0.042970l 0.049870l
118 0.032313m 0.008606n 0.068001m 0.095032m 0.150359m 0.277961m 0.712761m 0.016709m 0.041959m 0.049816m
119 0.027294m 0.004022n 0.060001m 0.074025m 0.098234m 0.168762m 0.610938m 0.016200m 0.041959m 0.049816m
120 0.035218m 0.002031n 0.057001m 0.065022m 0.070167m 0.109199m 0.610938m 0.014294m 0.030865m 0.035867m
121 0.037392n 0.001548o 0.059002n 0.064031n 0.057194n 0.072473m 0.647598m 0.015868n 0.030810n 0.024745n
122 0.054121n 0.001951o 0.065438n 0.070339n 0.056194n 0.057405n 0.775774n 0.017737n 0.033796n 0.024744n
123 0.061131n 0.002919o 0.079378n 0.086214n 0.064226n 0.055423n 0.880621m 0.019602n 0.041742n 0.031672n
124 0.072503n 0.004366p 0.110015n 0.119452n 0.086003n 0.066334n 1.076351m 0.026143n 0.060663n 0.040639n
125 0.102306m 0.010165n 0.211210k 0.179425k 0.117374k 0.087341k 1.329445l 0.029540m 0.060735m 0.055594m
126 0.166261n 0.034641o 0.297670n 0.287386n 0.207515n 0.148175n 1.565842m 0.070951n 0.139148n 0.118791n
127 0.655311h 0.105346n 0.497249m 0.466997m 0.347046m 0.237888m 1.986371j 0.183390l 0.358431m 0.208474m
128 0.745795k 0.250849o 0.825492m 0.745302m 0.553344n 0.395077n 2.462089l 0.522738n 0.696985m 0.415731n
129 1.206708k 0.566578n 1.292862m 1.092992m 0.872706m 0.634411m 2.659214l 0.971301k 1.354207m 0.843891m
130 2.133605l 1.792972n 2.000642m 1.692700m 1.289321m 0.991321m 2.937754m 1.839257m 2.160803m 1.631795l
131 3.193492g 3.325675j 2.888722l 2.389162l 1.888696l 1.486900m 3.781217i 3.156840h 3.339711l 2.616641l
132 4.773685h 4.654923j 3.884835l 3.185548l 2.677256m 2.081571m 5.269045g 4.567736i 4.815151l 3.969568l
133 5.742512h 5.705270j 4.880948l 3.981943l 3.479293l 2.882821l 5.559636i 6.476310i 6.715520k 5.860116k
134 7.528245k 5.833108l 5.795511k 4.881466l 4.378895l 3.798307l 5.931830j 7.351504h 7.631007l 7.469011l
135 5.908389k 6.626351k 6.475204l 5.675232l 5.273826l 4.696607k 6.177574i 7.676000i 7.234269l 7.494485k
136 4.868946l 7.000599k 7.469068l 6.598412l 6.215476k 5.756134l 5.556258k 7.179158i 7.026604k 7.390275k
137 6.317239l 6.759442k 6.813590j 6.687470j 6.515968j 6.363644j 5.160803l 6.175714l 6.556774l 6.721415l
138 5.813323l 6.655420l 6.683342k 6.772442l 6.779051l 6.746141l 5.230965j 6.224770i 6.408550l 6.616675l
139 6.800054k 6.292854l 6.175956l 6.570461l 6.761938l 6.973103l 4.893587j 6.131347l 5.962652l 6.354039l
140 5.540412h 6.368095k 5.678098l 6.272075l 6.562240l 6.864362l 4.879387i 6.015882j 5.703479l 6.022604l
141 5.149223k 5.323566k 4.850189k 5.925597k 5.929272k 6.617429j 4.823173j 6.018260j 5.493817l 5.295156l
142 3.773883l 5.531054l 4.582862l 5.278035l 5.578393l 6.094366l 4.310172j 4.972978j 4.791217l 4.677512l
143 4.285902i 5.314201k 4.084231l 4.778842l 4.974197l 5.587022l 3.632369j 5.036064j 4.487740l 4.547277l
144 3.721052l 5.051618k 3.699217k 4.023911k 4.673161k 5.054390j 3.166505j 4.845564l 3.928864l 4.195433l
145 3.273451k 3.511538l 3.386780l 3.782849l 3.976388l 4.275163l 2.560566l 3.605956l 3.070610l 3.435676m
146 2.457357l 2.905219m 3.087944l 3.285096l 3.479152l 3.776420l 2.156618k 2.809937k 2.568782m 2.805559l
147 2.092211i 2.570281j 2.689500l 2.881477m 3.081535l 3.279523l 1.956934m 2.500001j 2.123452l 2.387710l
148 2.353141m 1.977976m 2.390693l 2.484103m 2.677745m 2.785428l 1.761575m 1.658467m 1.772483m 1.990738l
149 1.984747m 1.543240n 1.989001m 2.090518l 2.280648m 2.379099m 1.592938k 1.547169l 1.393918m 1.598404m
150 1.852588m 1.119150n 1.729205m 1.803632m 1.989916l 2.081676m 1.274227m 0.737521n 1.063766n 1.260829m
151 1.244853i 0.857558n 1.392300m 1.490419m 1.685679m 1.685082m 0.905197k 0.741838l 0.854712n 1.022541m
152 1.237907m 0.571297o 1.093945m 1.192334m 1.388207m 1.387714m 0.872593n 0.364031n 0.655942n 0.801704n
153 1.309522m 0.589571n 0.843389n 0.904188m 1.090734m 1.189469m 0.659293n 0.196017n 0.457172n 0.623548n
154 0.904141m 0.335650o 0.637940n 0.686427m 0.849812n 0.941665m 0.455775n 0.104821m 0.327975n 0.435494n
155 0.708376n 0.228519o 0.456422n 0.526842l 0.693182l 0.737896l 0.368428n 0.078616m 0.258401n 0.316723n
156 0.445058n 0.181208o 0.327433n 0.366658n 0.484163n 0.562926n 0.271473n 0.061457m 0.139139n 0.237542n
157 0.455385n 0.120508o 0.228212n 0.257652n 0.355711n 0.414788n 0.178397n 0.024299m 0.099385n 0.168259n
158 0.344903n 0.083017o 0.148850n 0.178378n 0.247022n 0.306153n 0.119255n 0.012864m 0.072551n 0.118771n
159 0.233372n 0.058022o 0.099222n 0.118916n 0.177856n 0.217270n 0.073589n 0.001027n 0.044723n 0.079181n
160 0.184298n 0.039288o 0.063879n 0.074870n 0.118643n 0.148142n 0.045812n 0.000373n 0.021868n 0.051468n
161 0.121849n 0.026780o 0.038697n 0.046575n 0.076083n 0.098759n 0.026856n 0.000233n 0.008945n 0.024744n
162 0.081061n 0.020531o 0.023813n 0.028738n 0.048416n 0.065181n 0.013961n 0.000140n 0.001193n 0.008908n
163 0.055762n 0.014282o 0.013891n 0.016847n 0.030631n 0.041479n 0.006118n 5.60e-05n 0.000914n 0.003959n
164 0.025414n 0.010712o 0.007849n 0.009913n 0.018774n 0.025677n 0.003054n 2.33e-05n 0.000318n 0.001485n
165 0.011049m 0.007393n 0.004366n 0.005664m 0.010907m 0.015860m 0.002035m 1.05e-05m 0.000110m 0.000298m
166 0.004544n 0.005356o 0.002381n 0.003072n 0.006225n 0.009481n 0.001028n 2.52e-06n 6.46e-05n 0.000139n
167 0.002272n 0.004463o 0.001290n 0.001685n 0.003557n 0.005432n 0.000398n 9.33e-07n 2.39e-05n 3.96e-05n
168 0.001342n 0.002678o 0.000645n 0.000882n 0.001877n 0.003062n 0.000173n 1.87e-07n 9.24e-06n 1.29e-05n
169 0.000609n 0.001785o 0.000327n 0.000456n 0.000988n 0.001679n 9.68e-05n 7.00e-08n 3.68e-06n 3.46e-06n
170 0.000301n 0.001696o 0.000170n 0.000229n 0.000544n 0.000918n 4.59e-05n 9.33e-09n 9.94e-07n 1.98e-06n
171 0.000176n 0.001160o 8.24e-05n 0.000119n 0.000277n 0.000484n 1.97e-05n 4.67e-09n 2.39e-07n 9.90e-07n
172 9.57e-05n 0.000982o 4.17e-05n 5.85e-05n 0.000138n 0.000247n 1.53e-05n 9.33e-10n 7.65e-08n 4.95e-07n
