mass u234f u237f pu240h u234h u236h pu238f am241f am243f np238f cm242f
86 3.494133m 1.552907l 1.046460m 2.269865m 1.744527m 1.043544m 0.654537m 0.503297m 1.151290m 0.566987n
87 2.989971j 1.791696m 1.246311j 3.184755l 2.579003m 1.185290l 0.854085l 0.674492m 1.440597m 0.790016m
88 3.966095j 2.744195l 1.490658j 3.767984l 2.655251m 1.601367m 1.265693m 0.875808n 1.801165m 0.960182m
89 5.389946l 3.389245l 1.747368i 4.300028l 3.659138j 2.074393m 1.357625m 1.124441m 2.300614l 1.219797m
90 6.038863l 3.915434l 1.952523i 4.707081l 3.820010l 2.434680l 1.715407m 1.369531m 2.667405l 1.517704m
91 6.425058j 4.386102l 2.450160h 5.002994l 4.254236k 2.948812l 2.126664i 1.748210m 3.223750l 1.887072m
92 6.110431j 4.810684l 2.872168h 5.183537l 4.818080l 3.477655l 2.939793j 2.106981m 3.677868l 2.269659l
93 6.155856i 5.299536k 2.896950i 5.042664k 5.069331j 4.112736l 2.818777l 2.578962l 4.380033l 2.661108l
94 6.418682l 5.464065l 3.493818l 5.165801l 5.361608l 4.740867l 3.688954m 3.143605m 4.846381l 3.358067l
95 6.334472j 5.610686l 3.697669i 5.032528j 5.261609j 4.424131l 3.751411i 3.739426l 5.044699l 4.015632l
96 6.224629l 5.804128l 4.135222l 5.292175l 5.307519l 5.337094l 4.740649l 4.453158l 5.421906l 4.633765l
97 6.038748i 5.879938l 4.276969i 5.042643j 5.445944j 5.656110l 4.636896i 4.677929l 5.650345l 4.844937l
98 5.766617l 5.938378k 4.759399l 4.857642l 5.225298l 5.622103l 5.445534l 5.087262l 5.697342k 5.205408l
99 5.075879i 6.197933k 4.868966i 4.254718j 5.126146j 6.112515k 5.398710i 5.398364k 6.164795k 5.427610k
100 4.136138l 5.941237k 5.207708l 3.508873l 4.790620l 6.108882l 5.909581k 5.445501l 6.095436l 5.649250l
101 3.394207l 5.804044l 5.397972l 3.167298m 4.201578l 6.048102l 6.104194l 5.924719l 6.055529l 5.953334l
102 2.669984m 5.685019l 5.438604l 2.970021m 3.553056l 6.139202l 6.063632l 5.994938l 6.145743l 5.973385l
103 2.417112i 4.948943l 5.291055i 2.298263l 3.213834l 5.896871l 6.451358i 5.905154l 5.816819l 5.943383l
104 1.321509l 4.639230l 5.218491l 2.084273m 2.820132l 5.706725l 6.024053l 5.990533l 5.707294l 5.945120l
105 1.237440i 2.688536l 4.754474g 2.132680k 2.504589j 4.762554k 5.335824i 5.866728k 4.240514l 5.785440k
106 0.429079k 2.060784l 4.021683i 1.529381m 1.814851m 4.240739l 4.813459i 5.624986l 3.840821l 5.483860l
107 0.268439n 1.122885m 3.147594m 1.233372m 1.585501m 3.010741m 5.125893l 5.245324l 2.444159l 5.134254l
108 0.185862n 0.495590n 2.638614l 1.420996m 1.376317m 2.140623l 4.117154l 4.936190l 1.656408l 4.485087l
109 0.122809m 0.178977m 2.297550i 1.258807l 1.197770m 1.216499m 2.335166i 3.778282k 0.897512m 3.406221l
110 0.103246n 0.128837n 1.949985m 1.420860m 1.296324m 0.608231m 2.054700m 2.816597m 0.477711n 2.412818m
111 0.058195m 0.069377n 1.671646i 1.318350j 1.106070j 0.305820n 1.001643i 1.747796m 0.229225m 1.427738m
112 0.072272n 0.059466n 1.568710i 1.471315j 1.160652j 0.163104n 0.743581i 0.928829m 0.129380n 0.738830m
113 0.059741m 0.043712m 1.717772i 1.304214m 1.085207m 0.082404m 0.285529m 0.421411m 0.069905m 0.351414m
114 0.058850n 0.036671n 1.248885m 1.324603n 1.047029m 0.081552n 0.134957n 0.219608n 0.073647n 0.179597n
115 0.068516k 0.041579l 1.193070g 1.328335k 1.044624k 0.083435m 0.159600i 0.101991m 0.071175m 0.110575m
116 0.056786n 0.034688n 1.066283m 1.180295m 1.266416m 0.075051m 0.102696m 0.099822n 0.060794m 0.099776n
117 0.054787m 0.034780m 0.861726g 1.193030l 1.143987l 0.075015m 0.092426m 0.099911l 0.060855l 0.099842m
118 0.054787m 0.035773m 0.984892m 1.190142m 1.101793m 0.074416n 0.092426m 0.094880m 0.059798m 0.089858m
119 0.059768m 0.034744m 1.004251m 1.170307m 1.022384m 0.072887m 0.087292m 0.089887m 0.058343m 0.089858m
120 0.064644n 0.034744m 1.065212m 1.150471m 1.052162m 0.074884m 0.087292m 0.084893m 0.059315m 0.084866m
121 0.069617n 0.036618n 1.166651m 1.338944m 1.161425m 0.077829n 0.093612n 0.084850n 0.061501n 0.082838n
122 0.081585n 0.044535n 1.248066m 1.220235m 1.101895m 0.082448n 0.099163n 0.094724n 0.064385n 0.092673n
123 0.099453n 0.056410n 1.369443m 1.299239m 1.171275m 0.092797n 0.114414n 0.099669n 0.072071n 0.107203n
124 0.119440n 0.071312n 1.536602m 1.430212n 1.293255m 0.109895n 0.125526n 0.119679n 0.083231n 0.118397n
125 0.156502l 0.119122m 1.613847m 1.610590l 1.469057m 0.149768m 0.193194k 0.129836j 0.126410m 0.155931n
126 0.259256l 0.177882m 2.066375l 2.136081l 1.596479m 0.230362l 0.261674l 0.230988l 0.184736m 0.268908l
127 0.388771j 0.248163m 2.002128i 2.197159l 1.955418m 0.369425m 0.380497m 0.349178m 0.272261m 0.373166m
128 0.647501m 0.574035n 2.919041l 2.510235m 2.234180m 0.659086m 0.613680n 0.568125n 0.586200n 0.604254n
129 1.616498j 1.012595m 2.859785l 3.191397l 2.809725k 1.118321m 1.018105m 0.947889m 1.011311m 1.011492m
130 2.540781m 2.029719l 4.309479l 3.478193m 3.350675l 2.227635m 1.867115m 1.736782m 2.090704m 1.906686m
131 3.735867j 3.213456l 4.460339i 3.708335l 3.809984l 3.915719l 4.168328i 3.194724l 3.476196j 3.455496l
132 4.364303j 4.755271l 4.590675k 5.261590k 4.873230k 5.304196l 4.321860j 4.722176l 5.147919k 4.887063l
133 6.464197i 5.472325k 5.553934i 5.010730l 5.390076k 5.873619l 5.817838h 5.620808l 5.769666k 5.647269l
134 5.749837j 6.819004l 5.473597k 5.542541k 5.844895l 6.604941l 7.828396k 6.237599k 8.045237j 6.296452l
135 5.581853k 6.624940k 5.341134h 5.459793l 5.573625l 6.745252l 6.506050h 6.772182l 6.429053j 6.764861l
136 6.492108l 6.718522k 5.776373l 6.500150l 6.109720l 7.420700l 7.796377l 7.457241l 7.278368k 8.302974l
137 5.862588i 6.466979k 4.541609i 5.031960i 5.139651i 6.510333l 5.838064i 7.152656l 6.555696l 6.981347l
138 6.587177l 6.287656l 5.445086k 5.261842l 5.071495l 6.296191l 6.655478k 6.605988l 6.192929l 6.441033l
139 6.004106l 6.068429l 4.583750i 5.279236l 5.203529l 5.724017l 6.751272i 5.950888l 5.730036l 5.775629l
140 5.787173h 6.640428l 3.853162i 3.930933j 4.118092j 5.614320l 4.941442g 5.481615l 5.786680l 5.370960l
141 6.505636j 5.575092l 3.587640i 3.680841j 4.054839j 4.785162l 4.719010i 4.952430l 4.933550l 4.768646l
142 5.990981j 5.456845l 3.899261j 4.325688l 4.262499l 5.875272l 5.448542l 5.246326l 5.771746l 5.381958l
143 6.142069j 4.816876l 3.102701i 3.285722j 3.939119j 4.535451l 3.888470i 5.202590l 4.379986l 4.966082l
144 5.443792j 4.852575l 2.671651i 2.695224j 3.486658j 3.925876l 3.414493i 4.153681l 4.140539l 3.949147l
145 3.989072l 3.632061l 2.687350k 2.340618m 2.551063m 3.236464l 3.447823l 3.414374l 3.265225l 3.297530l
146 3.071571l 3.123756l 2.130256m 1.914146m 1.995138m 2.766972l 2.917383l 2.895203l 2.853172l 2.794016l
147 2.017734j 2.616392l 1.785936i 1.282374h 1.732623h 2.236537m 2.149320i 2.336129l 2.392061m 2.180079m
148 1.434487m 1.856962m 1.511467m 1.047696n 1.270610m 1.757320m 1.902551m 1.865712m 1.770249m 1.806850m
149 1.035806k 1.442550l 1.367703h 0.622681n 0.880697n 1.597527m 1.570523i 1.556353m 1.750311m 1.492667m
150 0.637331n 1.042320m 1.069353n 0.483257n 0.684734n 0.982394n 1.239334m 1.233071m 0.903318n 1.241071n
151 0.318111l 0.771929n 0.811540j 0.336050n 0.484876n 0.908011n 0.946359i 0.966791n 0.894592m 0.932917m
152 0.248632n 0.524515n 0.653045n 0.237211n 0.356236n 0.678513n 0.811300n 0.797353n 0.643832n 0.750385n
153 0.148761l 0.346378n 0.580414i 0.181944k 0.279672k 0.468972n 0.629203i 0.588048n 0.432424n 0.545759n
154 0.080563n 0.188033n 0.400489n 0.089192n 0.141543n 0.319398n 0.426601n 0.418833n 0.288283n 0.407957n
155 0.050721n 0.118758n 0.279493i 0.064245n 0.092028n 0.239475n 0.398477i 0.308974n 0.201798n 0.292371n
156 0.020885n 0.057400n 0.226092i 0.047118j 0.070480j 0.159650n 0.262464i 0.219272n 0.124923n 0.204660n
157 0.010940n 0.042555n 0.160359i 0.032617n 0.049477n 0.099781n 0.145618n 0.149504n 0.077836n 0.136444n
158 0.006365n 0.014845n 0.110223n 0.019769n 0.027707n 0.079721p 0.096732n 0.095683n 0.043242n 0.088735n
159 0.002089n 0.006829n 0.070300l 0.011638k 0.016302k 0.035921n 0.079375i 0.057808n 0.025945n 0.053602n
160 0.001095n 0.002730m 0.052202n 0.007020n 0.009921n 0.019994n 0.063022n 0.034972n 0.013453n 0.034201n
161 0.000438m 0.001042m 0.034781i 0.004551k 0.006469j 0.010234m 0.037668i 0.019934n 0.007001m 0.018517n
162 0.000159n 0.000297n 0.023470n 0.002767n 0.003859n 0.003744m 0.008741m 0.008480m 0.002917m 0.007365m
163 4.97e-05n 5.15e-05n 0.016327n 0.001680n 0.002276n 0.001796n 0.002571m 0.003242m 0.000942n 0.002455m
164 2.88e-05n 2.77e-05n 0.010220n 0.000990n 0.001386n 0.000699n 0.001040n 0.001395n 0.000279n 0.001078n
165 9.46e-06m 9.93e-06m 0.006939n 0.000583n 0.000754m 0.000300m 0.000617m 0.000599m 8.17e-05m 0.000526n
166 2.49e-06n 5.94e-06n 0.004490n 0.000257n 0.000420j 0.000130n 0.000239n 0.000299n 2.69e-05n 0.000214n
167 5.97e-07n 2.38e-06n 0.002857n 0.000208n 0.000257n 4.49e-05n 0.000104n 9.97e-05n 1.15e-05n 7.80e-05n
168 2.69e-07n 1.09e-06n 0.001837n 0.000119n 0.000148n 6.98e-06n 4.16e-05n 5.58e-05n 4.13e-06n 2.44e-05n
169 9.45e-08n 4.16e-07n 0.001154i 7.91e-05n 0.000119m 3.99e-06n 1.46e-05n 2.39e-05n 1.25e-06n 1.46e-05n
170 2.49e-08n 8.41e-08n 0.000741n 3.91e-05n 4.46e-05n 1.70e-06n 8.33e-06n 1.30e-05n 3.08e-07n 1.01e-05n
171 7.96e-09n 2.28e-08n 0.000531n 2.08e-05n 2.47e-05n 6.98e-07n 4.89e-06n 3.49e-06n 6.73e-08n 4.48e-06n
172 1.19e-09n 6.93e-09n 0.000367n 1.68e-05n 1.38e-05n 3.79e-07n 1.98e-06n 1.79e-06n 5.77e-09n 2.73e-06n
