mass u235t u235f u235h u238f u238h pu239t pu239f pu241t u233t th232f
110 0.025445h 0.064915l 1.083704k 0.140760l 1.027439k 0.645132i 0.647332j 1.325114j 0.038664h 0.070997l
111 0.017432g 0.042577f 1.079385g 0.071214f 0.992245g 0.295993f 0.357018e 0.585511g 0.021600j 0.071619i
112 0.013043h 0.037712f 1.075936j 0.055901h 1.032693g 0.128508f 0.188927f 0.218486g 0.013304j 0.078263i
113 0.014205h 0.032614g 1.091408j 0.046111k 0.914336i 0.081664g 0.127662f 0.151924h 0.013562k 0.078066h
114 0.011833h 0.032294g 1.057132k 0.039257l 0.718885k 0.060254g 0.094265f 0.071086m 0.012860k 0.073423l
115 0.012584g 0.033878g 1.091665g 0.037548f 0.857044g 0.042600i 0.081409h 0.038087j 0.014982i 0.077003g
116 0.013249h 0.034004f 1.056328k 0.039314k 0.675634k 0.050678j 0.060358g 0.027787n 0.013202l 0.073801l
117 0.012762h 0.036819j 1.065332j 0.037732k 0.604700h 0.044459j 0.069871j 0.023626k 0.014124k 0.073822g
118 0.011346j 0.033632j 1.081950k 0.043176k 0.831012k 0.032488k 0.059864k 0.023157n 0.015417k 0.063281k
119 0.012874j 0.035020j 1.084139k 0.039720k 0.725951k 0.032249j 0.055017k 0.023156n 0.018558l 0.057210l
120 0.012609j 0.035292j 1.090448k 0.038713k 0.777414k 0.030585k 0.055690k 0.025623m 0.021829j 0.054327l
121 0.013047i 0.036811j 1.054143h 0.036927j 0.833461h 0.037808j 0.063088k 0.025882n 0.023082j 0.048821i
122 0.015485j 0.040409k 1.146120k 0.041073k 0.850253k 0.044695j 0.069905k 0.025882n 0.040969j 0.036527l
123 0.015658g 0.044063k 1.192724k 0.044534l 0.921818k 0.044120l 0.076809k 0.026704n 0.060415m 0.029354l
124 0.026788j 0.063333k 1.290173k 0.046461k 1.034995k 0.078717k 0.120774k 0.032352n 0.074624l 0.026475l
125 0.034022f 0.068030i 1.460497j 0.048524i 1.196325h 0.111659j 0.177846j 0.046901j 0.116962j 0.032954k
126 0.058518j 0.097545j 1.863928h 0.054089i 1.325201l 0.202324i 0.266786i 0.082238m 0.226118j 0.048129l
127 0.156991g 0.306279f 2.179644g 0.136294h 1.493819i 0.506298i 0.500864j 0.232387h 0.555457k 0.101355h
128 0.348840g 0.504501j 2.456115j 0.286086i 1.947001j 0.734121k 0.879000i 0.379232m 0.836918j 0.182599l
129 0.543386d 0.835170h 3.375012j 1.011337i 2.077459i 1.371454h 1.451065i 0.819952m 1.591337l 0.252076h
130 1.810633f 1.794634h 3.599778j 1.913653i 3.149253l 2.361688j 2.454095i 1.818825k 2.091632k 0.945582k
131 2.890898b 3.219551c 4.103087g 3.290794d 3.992440e 3.856439b 3.878424b 3.100837e 3.604300c 1.620949f
132 4.313407a 4.671072b 4.886339g 5.147494e 4.838119d 5.406858b 5.329531c 4.564343e 4.953559c 2.968856e
133 6.699915a 6.724035b 5.529694i 6.762707b 6.017644e 7.016466b 6.971140b 6.729190c 5.950570d 4.046220f
134 7.872644b 7.666747b 5.715190g 7.609406g 6.453250f 7.676881b 7.382961b 7.917365e 6.306880c 5.351795f
135 6.539455a 6.601362c 5.729764i 6.967573c 5.841928f 7.621001c 7.554585b 7.170771d 6.265223e 5.528784f
136 6.318709a 6.227129b 5.302789h 6.979834f 5.645631f 7.143924d 7.063767d 7.105131e 6.905353d 5.621469f
137 6.188944b 6.221562a 4.948814g 6.052506c 5.146585f 6.613842b 6.590226b 6.650911c 6.757385c 5.839457h
138 6.768035b 6.680526c 4.593901i 5.762451e 4.883588g 6.124533d 6.126624c 6.605149d 5.907377f 6.449821i
139 6.413852c 6.343309b 4.810269h 5.670141d 5.049720f 5.637200g 5.611585e 6.217390f 6.305604g 7.096623f
140 6.220169b 5.977979c 4.528971g 5.815266c 4.611131e 5.364788d 5.333198c 5.766685e 6.424816e 7.877878f
141 5.847414d 5.949134e 4.486032h 5.336511f 4.381533f 5.246968f 5.147149g 4.905772e 6.480480g 7.463862g
142 5.849283b 5.542190d 4.205015i 4.585776d 4.061520g 4.928967b 4.754411c 4.746982d 6.670707e 6.540381g
143 5.956198a 5.731209b 3.815571g 4.622060c 3.908647f 4.413261b 4.342002a 4.577993c 5.965845c 6.647205f
144 5.499964a 5.268694c 3.172470g 4.547939c 3.722810g 3.739785a 3.672940c 4.227384c 4.726134c 7.916097g
145 3.933647a 3.775731b 2.709269i 3.808983c 3.003810h 2.986310a 3.004180b 3.262911d 3.444062d 5.338663f
146 2.997113a 2.921372b 2.198985k 3.445628c 2.436894i 2.458146a 2.460051b 2.766456c 2.585897c 4.554332g
147 2.246885c 2.138887c 1.623358g 2.592719c 2.091141f 2.002981d 1.990639c 2.284949e 1.738401g 2.978662g
148 1.673660a 1.683442b 1.197989k 2.112485c 1.730509l 1.642120b 1.661454a 1.932103c 1.301585d 2.005246g
149 1.081705d 1.036973c 0.813282l 1.625277d 1.458148i 1.216561c 1.241118b 1.474076e 0.778134g 1.083641h
150 0.653325b 0.685836b 0.511870k 1.273456d 1.080910l 0.967459b 0.996874b 1.209439d 0.505712e 0.561977m
151 0.418797d 0.411991b 0.357774j 0.799397d 0.801471h 0.738426c 0.784939c 0.913021e 0.315725f 0.363657i
152 0.266932d 0.270856e 0.257674k 0.530227d 0.578793l 0.576317d 0.626702e 0.717632e 0.213639g 0.075545l
153 0.158290g 0.167056g 0.203611k 0.414787f 0.391921i 0.361259i 0.425848h 0.540584h 0.103685i 0.031009k
154 0.074439d 0.072319d 0.126975m 0.216281d 0.252123l 0.259788e 0.267251e 0.379114f 0.046690g 0.006876m
155 0.032138h 0.039472k 0.078729k 0.141515k 0.155257l 0.165724k 0.208821k 0.241414j 0.021430l 0.003617m
156 0.014854g 0.020259f 0.057898g 0.076033f 0.114368g 0.124018h 0.154754h 0.172125g 0.012794i 0.002690j
157 0.006151j 0.010583m 0.037707k 0.041375l 0.080349k 0.074152i 0.106137j 0.135369h 0.006302j 0.000932m
158 0.003286k 0.006494l 0.023471k 0.018487l 0.042592l 0.041439l 0.065658l 0.092244m 0.002055m 0.000464n
159 0.001009i 0.003007k 0.012126j 0.008619l 0.026018k 0.020653i 0.038547k 0.048030h 0.000886i 9.77e-05n
160 0.000319n 0.001132l 0.007209k 0.003544m 0.015666l 0.009681l 0.016051n 0.020499m 0.000316n 6.92e-05n
161 8.53e-05h 0.000333h 0.005261j 0.001215g 0.008469h 0.004841i 0.008649h 0.008468h 0.000122i 1.45e-05m
162 1.59e-05n 5.77e-05m 0.002783k 0.000340n 0.005937l 0.002231l 0.006141l 1.27e-05n 1.27e-05o 7.98e-06n
163 6.11e-06n 9.62e-06m 0.001584k 0.000204n 0.003393l 0.000916m 0.003147m 5.90e-06n 5.93e-06o 4.64e-06n
164 1.88e-06n 5.77e-06m 0.000976k 0.000125n 0.001992l 0.000330m 0.001793m 1.97e-06n 1.95e-06o 2.04e-06n
165 9.52e-07n 2.31e-06m 0.000538k 7.66e-05m 0.001097l 0.000134m 0.000897n 6.15e-07m 6.32e-07n 3.53e-07m
166 3.63e-07n 9.62e-07m 0.000279j 5.67e-05n 0.000630j 6.66e-05l 0.000635n 4.14e-07n 3.68e-07o 1.38e-07n
167 2.47e-07n 3.85e-07m 0.000185k 4.35e-05l 0.000369l 1.52e-05n 0.000267n 1.04e-07n 5.09e-08o 9.77e-08n
168 5.71e-08n 9.62e-08m 0.000107k 2.84e-05n 0.000200l 4.29e-06n 7.66e-05n 9.50e-06n 1.29e-08o 5.30e-08n
169 2.38e-08n 5.77e-08m 7.80e-05j 1.70e-05n 0.000129j 1.47e-06n 2.58e-05n 4.02e-06n 4.40e-09o 2.69e-08n
170 5.01e-09n 1.92e-08m 3.25e-05k 1.02e-05n 5.95e-05l 3.18e-07n 7.66e-06n 1.64e-06m 1.62e-09n 1.07e-08n
171 2.35e-09n 6.73e-09m 1.76e-05k 5.72e-06n 3.30e-05l 1.57e-07n 2.58e-06n 2.19e-07n 4.47e-10o 4.64e-09n
172 7.69e-10n 1.92e-09m 1.66e-05j 1.07e-05n 2.13e-05l 4.94e-08n 7.66e-07n 7.31e-08n 1.51e-10o 2.39e-09n
